YEAROCC,Violence,Property,Homicide,Assaults,Robbery,Shootings,Burglary,MV Theft,Rape,Weapons,Drugs,Sex,y,x
2009.0,,1.0,,,,,,,,,,,37.7806,-122.191
2009.0,,,,,,,,,,,1.0,,37.770097,-122.20940300000001
2009.0,,,,,,,,,,,1.0,,37.814985,-122.27206699999999
2009.0,,,,,,,,,,,1.0,,37.797810999999996,-122.21636000000001
2009.0,,,,,,,,,,,1.0,,37.797810999999996,-122.21636000000001
2009.0,,,,,,,,,,,1.0,,37.842040000000004,-122.270306
2009.0,,,,,,,,,,,1.0,,37.842040000000004,-122.270306
2009.0,,,,,,,,,,,1.0,,37.824682,-122.275346
2009.0,,,,,,,,,,,1.0,,37.804712,-122.270553
2009.0,,,,,,,,,,,1.0,,37.804712,-122.270553
2009.0,,,,,,,,,,,,1.0,,
2009.0,,,,,,,,,,,1.0,,37.765352,-122.198632
2009.0,,,,,,,,,,,1.0,,37.741291,-122.149054
2009.0,,,,,,,,,,,1.0,,37.741291,-122.149054
2009.0,,,,,,,,,,,1.0,,37.741291,-122.149054
2009.0,,,,,,,,,,1.0,,,37.741291,-122.149054
2009.0,,,,,,,,,,1.0,,,37.741291,-122.149054
2009.0,,,,,,,,,,1.0,,,37.741291,-122.149054
2009.0,,,,,,,,,,1.0,,,37.741291,-122.149054
2009.0,,,,,,,,,,1.0,,,37.741291,-122.149054
2009.0,,,,,,,,,,1.0,,,37.757626,-122.183073
2009.0,,,,,,,,,,1.0,,,37.792033,-122.233246
2009.0,,,,,,,,,,1.0,,,37.777077,-122.141058
2009.0,,,,,,,,,,1.0,,,37.777077,-122.141058
2009.0,,,,,,,,,,,1.0,,37.844308000000005,-122.270454
2009.0,,,,,,,,,,,1.0,,37.763273999999996,-122.195047
2009.0,,,,,,,,,,,1.0,,37.753633,-122.17736399999998
2009.0,,,,,,,,,,,1.0,,37.753633,-122.17736399999998
2009.0,,,,,,,,,,,1.0,,37.793183,-122.242493
2009.0,,,,,,,,,,,1.0,,37.753094,-122.165995
2009.0,,,,,,,,,,,1.0,,37.804826,-122.269355
2009.0,,,,,,,,,,,1.0,,37.800549,-122.189558
2009.0,,,,,,,,,,,1.0,,37.800549,-122.189558
2009.0,,,,,,,,,,,1.0,,37.784551,-122.227869
2009.0,,,,,,,,,,,1.0,,37.816489000000004,-122.27528799999999
2009.0,,,,,,,,,,,1.0,,37.837742999999996,-122.27133400000001
2009.0,,,,,,,,,,,1.0,,37.822015,-122.281626
2009.0,,,,,,,,,,,1.0,,37.822015,-122.281626
2009.0,,,,,,,,,,,1.0,,37.822015,-122.281626
2009.0,,1.0,,,,,,1.0,,,,,37.777941,-122.224209
2009.0,,1.0,,,,,,,,,,,37.801679,-122.246922
2009.0,,1.0,,,,,,1.0,,,,,37.744084,-122.17459699999999
2009.0,,1.0,,,,,,,,,,,37.775414000000005,-122.185355
2009.0,,1.0,,,,,1.0,,,,,,37.79492,-122.234163
2009.0,,1.0,,,,,1.0,,,,,,37.752864,-122.186062
2009.0,,1.0,,,,,,,,,,,37.804269,-122.264877
2009.0,,1.0,,,,,1.0,,,,,,37.774735,-122.20043799999999
2009.0,,1.0,,,,,,1.0,,,,,37.781036,-122.223487
2009.0,,1.0,,,,,,1.0,,,,,37.78929,-122.21048700000001
2009.0,,1.0,,,,,1.0,,,,,,37.843188,-122.277887
2009.0,,1.0,,,,,,,,,,,37.794711,-122.241251
2009.0,,1.0,,,,,1.0,,,,,,37.842784,-122.27962099999999
2009.0,,1.0,,,,,1.0,,,,,,37.809246,-122.20687099999999
2009.0,,1.0,,,,,1.0,,,,,,37.83292,-122.259749
2009.0,,1.0,,,,,1.0,,,,,,37.797633000000005,-122.211901
2009.0,,1.0,,,,,1.0,,,,,,37.829094,-122.24475600000001
2009.0,1.0,,,,1.0,,,,,,,,37.800107000000004,-122.271501
2009.0,,1.0,,,,,1.0,,,,,,37.805366,-122.23030800000001
2009.0,,1.0,,,,,,,,,,,37.801264,-122.275797
2009.0,,1.0,,,,,1.0,,,,,,37.777077,-122.141058
2009.0,,1.0,,,,,,,,,,,37.777077,-122.141058
2009.0,,1.0,,,,,1.0,,,,,,37.7565,-122.14711799999999
2009.0,,1.0,,,,,,,,,,,37.830382,-122.270404
2009.0,,1.0,,,,,,,,,,,37.839286,-122.27653600000001
2009.0,,1.0,,,,,,1.0,,,,,37.748637,-122.137726
2009.0,,1.0,,,,,,1.0,,,,,37.763532,-122.175509
2009.0,,1.0,,,,,1.0,,,,,,37.778634000000004,-122.140744
2009.0,,1.0,,,,,1.0,,,,,,37.793399,-122.268301
2009.0,,1.0,,,,,,,,,,,37.772806,-122.208478
2009.0,,1.0,,,,,,,,,,,37.797079,-122.23762099999999
2009.0,,1.0,,,,,,1.0,,,,,37.807253,-122.293582
2009.0,,1.0,,,,,,,,,,,37.770963,-122.176673
2009.0,,1.0,,,,,,1.0,,,,,37.776018,-122.233855
2009.0,1.0,,,,1.0,,,,,,,,37.738067,-122.164813
2009.0,,1.0,,,,,,,,,,,37.760703,-122.17341
2009.0,,1.0,,,,,,1.0,,,,,37.760703,-122.17341
2009.0,,1.0,,,,,,1.0,,,,,37.769236,-122.19761299999999
2009.0,,1.0,,,,,1.0,,,,,,37.775938000000004,-122.20658700000001
2009.0,1.0,,,1.0,,1.0,,,,,,,37.751465,-122.165989
2009.0,,1.0,,,,,,1.0,,,,,37.848046000000004,-122.28543799999998
